# o        x             y               b          v        r          i
obj    280.30151      304.61029        -----      -----    -----      -----
st1    332.15820      268.83511        15.21      14.19    13.58      13.10
st2    188.94635      268.51654        13.01      12.81    12.70      12.60
st3    247.70831      233.64767        15.79      14.78    14.23      13.72
st4    254.79114      196.24777        14.12      13.63    13.33      13.05
