# o        x             y               b          v        r          i
obj    134.22896      132.13335        -----      -----    -----      -----
st1    130.53693      189.93480        14.82      14.39    13.88      13.63
st2    194.37926      143.78970        14.42      13.98    13.48      13.24
st3    196.25066      100.19867        13.03      12.81    12.45      12.36
st4    168.51942      87.383774        14.69      14.04    13.40      13.06
st5    168.40413      102.18126        13.77      13.31    12.78      12.54
