# o        x              y           b         v         r         i
obj     254.99025      122.05046    -----     -----     -----     -----
st1     73.635796      137.40251    16.01     15.38     15.00     14.61
st2     62.768440      119.90310    16.44     15.91     15.54     15.08
st3     98.284920      111.41988    17.15     16.60     16.28     15.86
