# o        x              y           b         v         r         i
obj     255.25519      162.97443    -----     -----     -----     -----
st1     225.53096      150.70953    16.79     15.98     15.47     15.00
st2     120.58739      127.00346    15.49     14.87     14.53     14.20
st3     99.197166      98.338715    13.73     12.99     12.56     12.17
