# o        x             y               b          v        r          i
obj    241.73178      134.05202        -----      -----    -----      -----
st1    246.83611      100.31334        -----      12.61    12.25      11.90
st2    138.00420      107.73913        -----      14.62    14.20      13.84
st3    215.75148      142.90306        -----      15.89    15.40      14.89
