# o        x              y             b           v           r          i
obj    175.63300      117.63073       -----       -----       -----      -----
st1    266.13928      130.14821       15.02       14.37       13.96      13.58
st2    134.09796      157.56839       15.45       14.61       14.12      13.67
st3    121.95387      66.629951       16.84       15.35       14.43      13.58
