# o        x              y           b         v         r         i
obj      148  127  ------    ------    -------    -------
st1      62    89 14.53 13.84 13.50 13.10
st2      126  136 14.54 13.92 13.59 13.23
st3      72   114 16.40 15.69 15.28 14.90
st4     171   189 16.56 15.77 15.32 14.89
