obj   165.838    138.540    -----     -----   -----      -----
st1   188.987    149.136    13.590   13.030   12.690     12.35
st2   223.997    150.534    13.550   12.710   12.230     11.79
st3   237.495    120.805    13.680   12.920   12.480     12.080
