# o        x             y               b          v        r          i
obj    220.75336      92.819077        -----      -----    -----      -----
st1    250.93806      62.304707        -----      13.04    12.56      12.14
st2    161.88905      129.53758        -----      14.61    14.22      13.86
st3    88.087418      112.30312        -----      14.77    14.39      14.04
st4    256.50201      101.74724        -----      15.49    15.14      14.81
st5    93.027557      89.397812        -----      15.62    15.32      14.99
