# o        x              y           b         v         r         i
obj     116.52682      103.54292    -----     -----     -----     -----
st1     281.54587      60.538311    12.85     11.87     11.30     10.74
st2     142.00668      192.59895    13.33     12.69     12.27     11.84
st3     140.28270      86.878845    14.12     13.56     13.16     12.83
