# o        x             y          b          v        r          i
obj      263.283      136.621          -----  -----  -----  -----
st1      219.239      160.912          13.64  12.99  12.54  12.10
st2      200.442      154.519          15.36  14.44  13.81  13.15
st3      169.385      140.268          14.25  13.54  13.05  12.53
st4      185.245      129.180          17.10  14.99  13.58  12.24
st5      203.274       98.588          16.10  14.63  13.68  12.63 
