# o        x             y               b          v        r          i
obj    209.05341      126.89752        -----      -----    -----      -----
st1    204.62462      58.440990        -----      12.40     12.05     11.69
st2    152.36279      102.07367        -----      12.90     12.62     12.36
st3    189.61374      104.70712        -----      13.76     13.15     12.54
st4    121.46156      122.84654        -----      14.04     13.68     13.33
st5    230.90750      117.12202        -----      14.56     13.99     13.46
