obj  305.111    164.815   -----   -----   -----   -----
st1  239.277    172.495   14.92         14.15         13.68         13.29 
st2  248.697    97.443    13.10143      12.11356      11.54322      11.08917 
st3  342.586    140.378    14.37039      13.67894      13.27217      12.94909 
