# o        x              y           b         v         r         i
obj     158.39461      73.946587    -----     -----     -----     -----
st1     153.55902      67.992691    14.70     13.71     13.15     12.545
st2     218.24687      181.43192    14.93     13.80     13.19     12.633
st3     232.08199      155.26958    15.19     14.44     14.00     13.528
st4     191.71234      124.46677    15.91     15.21     14.79     14.300
